,SiteNo,Trip.date,year,month,Site,Transect,Letter,Trans_No,trans_ID,ID,observer,observer_num,lat,lon,Depth.m.,Species,Confidence,Number_Ind,Length,C,R,G,S,SG,SW,A,B,A1_size,K1_size,K2_size,Description,Comment,depth_category,a,b,method,c_t,weight
14,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pseudochromis springeri,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01175,3.01,bayesian,C,5.167769399
15,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus trimaculatus,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.070306667,2.809416667,mean,C,1.539674493
16,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Amblyglyphidodon leucogaster,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01876,2.978683333,mean,C,0.147878782
17,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,5.25375
18,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,6.80886
19,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.26962
20,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,43.24887
21,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,9.07848
22,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.68992
23,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,0.33624
24,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Synodus variegatus,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.004838,3.32916,bayesian,C,10.3234739
25,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Cheilodipterus novemstriatus,0,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01096,3.11,bayesian,C,13.35726824
26,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Ostorhinchus cyanosoma,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synonym,deep,NA,NA,NA,NA,NA
27,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Ecsenius gravieri,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.00741,3,bayesian,C,0.92625
28,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,4.5312
29,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,24.3375
30,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.494364,34.90742,20,Trimma flavicaudatum,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.00891,3.07,bayesian,C,0.628350373
31,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus trimaculatus,0,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.070306667,2.809416667,mean,C,43.17253931
32,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus trimaculatus,0,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.070306667,2.809416667,mean,C,69.09774586
33,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.493804,34.906851,19.5,Dascyllus trimaculatus,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.070306667,2.809416667,mean,C,1.478551485
34,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,9.07848
35,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.68992
36,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.68992
37,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,6.80886
38,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,1.34496
39,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,28.83258
40,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pomacentrus trichrourus,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.68992
41,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Dascyllus marginatus,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,4.5312
42,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Dascyllus marginatus,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,4.425
43,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Dascyllus marginatus,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,0.1416
44,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Dascyllus marginatus,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,4.425
45,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pseudochromis springeri,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01175,3.01,bayesian,C,1.492579868
46,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pseudochromis springeri,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01175,3.01,bayesian,C,4.109443058
47,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Pseudochromis springeri,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01175,3.01,bayesian,C,0.762497529
48,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Chromis viridis,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,NA,NA,NA,NA,NA
49,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Meiacanthus nigrolineatus,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.020875,3,mean,C,2.609375
50,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Ecsenius gravieri,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.00741,3,bayesian,C,0.92625
51,Princess,22/07/2018,2018,july,NA,2,C,2C,Princess S 2 Yoni Belmaker Shahar Malamud july 2018,Princess S 2 Yoni Belmaker 2018 july,Yoni Belmaker,two_observers,29.493804,34.906851,19.5,Corythoichthys flavofasciatus,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.001065,3,mean,C,0.54528
52,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,2,8,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,43.03872
53,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,4,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,2.68992
54,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,2,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,0.33624
55,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,2,4,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,5.37984
56,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,4,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,2.68992
57,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,3,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,1.13481
58,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,3,3,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,3.40443
59,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Synodus variegatus,1,1,10,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.004838,3.32916,bayesian,C,10.3234739
60,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Dascyllus marginatus,0,4,5,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.0177,3,mean,C,8.85
61,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Dascyllus marginatus,0,2,5,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.0177,3,mean,C,4.425
62,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Dascyllus marginatus,0,12,6,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.0177,3,mean,C,45.8784
63,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494822,34.907902,17,Pseudochromis springeri,0,1,4,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.01175,3.01,bayesian,C,0.762497529
64,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,3,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,1.13481
65,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,6,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,9.07848
66,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Chromis dimidiata,0,1,4,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.01778,2.99,bayesian,C,1.122253919
67,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Pseudochromis springeri,0,2,3,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.01175,3.01,bayesian,C,0.641509126
68,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Corythoichthys schultzi,0,2,12,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.000605,3,mean,C,2.09088
69,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Corythoichthys schultzi,0,1,8,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.000605,3,mean,C,0.30976
70,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Corythoichthys schultzi,0,1,8,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.000605,3,mean,C,0.30976
71,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Pomacentrus trichrourus,0,1,6,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,9.07848
72,Princess,22/07/2018,2018,july,NA,12,C,12C,Princess S 12 Mai Lazarus Tal Gavrieli july 2018,Princess S 12 Mai Lazarus 2018 july,Mai Lazarus,two_observers,29.494822,34.907902,17,Dascyllus marginatus,0,8,3,NA,32,NA,8,60,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.0177,3,mean,C,3.8232
73,Princess,22/07/2018,2018,july,NA,13,C,13C,Princess S 13 Mai Lazarus Tal Gavrieli july 2018,Princess S 13 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494038,34.906797,10,Dascyllus marginatus,0,6,6,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.0177,3,mean,C,22.9392
74,Princess,22/07/2018,2018,july,NA,13,C,13C,Princess S 13 Mai Lazarus Tal Gavrieli july 2018,Princess S 13 Tal Gavrieli 2018 july,Tal Gavriel,two_observers,29.494038,34.906797,10,Pomacentrus trichrourus,0,1,5,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,middle,0.04203,3,could be wrong,C,5.25375
